"titles","abstract","year","geography","categoryTitle","categoryText"
"Counseling to prevent childhood lead poisoning","Excessive lead exposure continues to be a pervasive and serious threat to the health and well-being of the nation's children. The current guidelines issued by the Centers for Disease Control and Prevention (CDC) recommend education (during well-child visits) regarding the major preventable sources of lead and how to prevent excessive exposure. To determine if parents receive counseling to prevent excessive lead exposure in their children, a survey of parental knowledge on prevention of lead exposure was administered to parents of children recently identified as having elevated blood lead levels, Surveys were administered by lead program outreach workers prior to an educational visit in urban neighborhoods of Boston, Massachusetts. Parents of 139 children (88% ethnic minorities; mean age: 31 months) with recently identified elevated blood lead levels (mean: 1 mu mol/L) participated, Fifty-one percent first learned of their child's elevated lead level at the time they were contacted by an outreach worker, Seventy-one percent did not recall having been counseled regarding lead poisoning or its prevention prior to this contact, Before the outreach visit, 17% had been counseled but after the elevated lead was detected. Only 12% of the parents had received preventive counseling prior to detection of the elevated lead level, We conclude that despite CDC recommendations, adequate counseling for preventing lead poisoning does not occur for a substantial number of children who have elevated lead levels.","1996","Massachusetts","None","None"
"The accuracy of a lead questionnaire in predicting elevated pediatric blood lead levels","OBJECTIVES: To determine the prevalence of elevated blood lead levels and to evaluate the accuracy of a lead screening questionnaire in a western United States urban inner-city pediatric population. DESIGN: A convenience sample of children between the ages of 6 months and 6 years seen for a well-child visit were enrolled. Venous blood lead levels were measured and a lead screening questionnaire was completed. SETTING: The primary care clinics of the 10 community health centers of the city and county of Denver, Colorado. Approximately 85% of children receiving services are below the 150% poverty level and 54% are insured through the state's Medicaid program. SUBJECTS: A total of 2978 children seen for a well-child visit from February 1993 to January 1994. MAIN OUTCOME MEASURES: The prevalence of elevated blood lead levels and the operating characteristics of both the Centers for Disease Control and Prevention lead screening questionnaire and the complete questionnaire used in Denver, using venous blood lead levels as the criterion standard. RESULTS: The mean blood lead level was 0.20 mumol/L (4.19 micrograms/dL). Eighty-five children had blood lead levels of 0.48 mumol/L (10 micrograms/dL), representing 2.9% of the study group (95% confidence interval [CI], 2.3-3.5). Only 0.3% of the cohort had blood lead levels greater than 0.96 mumol/L (20 micrograms/dL). The sensitivity, specificity, and positive predictive value of the Centers for Disease Control and Prevention questionnaire was 57%, 51%, and 3%, respectively. The sensitivity, specificity, and positive predictive value of the complete questionnaire was 59.7%, 36%, and 2.6%, respectively. The marginal cost of identifying a child with a blood lead level greater than 0.96 mumol/L (20 micrograms/dL) was $4925. CONCLUSIONS: Few of the low-income children in this study had blood lead levels greater than 0.48 mumol/L (10 micrograms/dL). The questionnaire did little better than chance at predicting the presence or absence of elevated blood lead levels and cannot replace a blood lead level test for childhood lead screening in this community.","1996","Colorado","None","None"
"Preventing childhood lead poisoning in Tennessee"," ","1996","Tennessee","None","None"
"Analysis of lead in soils adjacent to an interstate highway in Tampa, Florida","In order to assess the amount and distribution of lead pollution in soils adjacent to a major interstate highway serving the city of Tampa, Florida, a total of 224 samples were collected from 32 transects perpendicular to the roadway. The lead content was measured using atomic absorption spectrophotometry. The highest levels of lead were found at distances of 81, 243, and 729 cm from the road. The results show that there is a weak negative correlation between soil lead and the distance from the roadside, as well as with traffic density. The weakness of the relationship is a result of confounding variables such as turbulence and other microclimatic factors, downslope movement of soils over time, and human action such as construction and highway landscaping. Nevertheless, over one-third of the samples collected in the study area contain more than 500 mu g g(-1) lead, levels considered to be hazardous by the United States Centers for Disease Control and the Environmental Protection Agency.","1996","Florida","soil","soil"
"Blood lead levels in a continuity clinic population","INTRODUCTION: Lead toxicity is well recognized as a significant cause of morbidity in children, especially those under the age of six years. While lead toxicity has not been recognized as a public health problem in Houston, it is possible that children in the area suffer from low-level lead effects on the central nervous system. OBJECTIVES: To detect asymptomatic cases of lead toxicity in one population of Houston children and to assess the effectiveness of the lead risk questionnaire. DESIGN: Venous blood samples for quantitative lead were analyzed utilizing the Anodic Stripping Voltameter. The Centers for Disease Control's lead risk assessment questionnaire was administered to each patient. SETTING: Baylor College of Medicine Continuity Clinic at Texas Children's Hospital. SUBJECTS: All patients, ages 9-72 months, seen for routine care between December 1992 and June 1994 were screened once. RESULTS: Blood lead levels were obtained on 801 children; all but 47 completed lead risk questionnaires. The mean age of the study group was 2.37 years (SD 1.84) and they were 54% male. They were 39% Hispanic, 39% Black, and 18% White. Eighty-eight percent reported an annual income of < $20,000. They lived in 127 separate zip codes. Twenty-five (3.1%) patients had elevated blood lead, 21 between 10-14 micrograms/dL and 4 between 15-19 micrograms/dL. No patients had blood lead levels of > or = 20 micrograms/dL. No statistically significant differences were found between patients with blood lead < 10 micrograms/dL and those with > or = 10 micrograms/dL when comparing for age, sex, ethnicity, income, and zip code. Only those children living in or regularly visiting a pre-1960 home with peeling or chipping paint were significantly more likely to have elevated blood lead (p = .045). CONCLUSION: Although the majority of children in our setting were poor and urban, the prevalence of blood lead > or = 10 micrograms/dL was 3.1%, well below the estimated 17% quoted by the Centers for Disease Control in recommending stringent screening guidelines. The lead risk assessment questionnaire failed to identify 32% of children with elevated blood lead levels. Since this questionnaire is critical to screening populations at low risk for lead toxicity, it is important to determine whether a revised questionnaire or a more careful elicitation of parental responses will improve identification of those children at risk.","1997","Texas","None","None"
"Census tract analysis of lead exposure in Rhode Island children","There has been increasing interest in a targeted approach to the screening and prevention of lead exposure in children. Targeted screening requires an understanding of variation in lead exposure in individual children or by region. In order to better understand variation by region, we studied Rhode Island lead poisoning screening data, examining average lead exposure to children living in 136 Providence County census tracts (CTs). The study population included 17,956 children aged 59 months and under, who were screened between May 1, 1992, and April 30, 1993. We evaluated the relationship between the percentage of children with blood lead greater than or equal to 10 mu g/dL (pe10) and sociodemographic and housing characteristics, derived from United States 1990 Census data, of these CTs. CT descriptors included population density, percentage of households receiving public assistance income, median per capita income, percentage of households female headed, percentage of houses owner occupied, percentage of houses built before 1950, percentage of houses vacant, percentage of population Black, percentage of recent immigrants, and intraurban mobility. On average, 109 children were screened in each census tract; mean screening rate was 44%. There was wide variation in average lead exposure among census tracts, with pe10 ranging from 3 to 60% of screened children (mean 27%). Individual census variables explained between 24 and 67% of the variance in pe10 among CTs. A multiple regression model including percentage screened, percentage of households receiving public assistance, percentage of houses built before 1950. In (percentage of houses vacant), and percentage of recent immigrants explained 83% of variance in pe10. The percentage of houses built before 1950, a variable which models the presence of lead paint in old houses, displayed the largest adjusted effect on pe10 over the range observed for that variable in RI CTs. The percentage of houses vacant was also a highly significant and robust predictor; we suggest that vacancy is an ecological marker for the deterioration of lead-based paint, with higher vacancy neighborhoods containing houses in poorer condition. In Rhode Island, census tracts with high vacancy rates also have high rates of recent immigration, making immigrant groups vulnerable to lead exposure. Small-areas analysis may be useful in directing resources to high risk areas, explaining the sociocultural forces which produce such exposure and analyzing the effects of housing policy over time in states with high screening penetration. (C) 1997 Academic Press.","1997","Rhode Island","None","None"
"Children with elevated blood lead levels attributed to home renovation and remodeling activities--New York, 1993-1994","Renovation and remodeling activities that disturb lead-based paint can create substantial amounts of lead dust in the home; such dust can then be inhaled or ingested by children. In January 1995, the New York State Department of Health (NYSDOH) assessed lead exposure among children resulting from home renovation and remodeling during 1993-1994. This report summarizes findings of the study, which identified 320 children in New York state (excluding New York City) with blood lead levels (BLLs) > or = 20 micrograms/dL that were considered to be attributable to residential renovation and remodeling.","1997","New York","None","None"
"Hygiene- and food-related behaviors associated with blood lead levels of young children from lead-contaminated homes","Exposures associated with blood lead levels greater than 40 micrograms/dL in young children who live in lead-contaminated homes have been well documented. As the action level for lead is reduced, activities that contribute to lower levels of lead exposure must be identified. A child's eating habits and related hygiene behaviors are major hand-to-mouth activities that have been largely overlooked in the study of activities contributing to lead ingestion. To examine this subject, a survey questionnaire for caretakers of young children was developed. The objective of the questionnaire was to characterize food-related activities of young children and to identify behavioral indicators of lead exposure. The association between food- and hygiene-related behaviors and blood lead levels among 60 children between 13 and 36 months old with low-to-moderate blood lead levels was examined in homes that had been identified as containing lead in paint and house dust. The participants were enrolled in the Children's Lead Exposure and Reduction Study in Jersey City, New Jersey. Blood lead levels of children 13-24 months old did not differ significantly from those of children 25-36 months of age (10.1 and 11.3 micrograms/dL, respectively). Differences in eating habits and hygiene behaviors were found for the two age groups. Bivariate analyses found that the primary behavioral indicators of blood lead levels were determined by whether the child prepared his/her own food and whether the child ate food that had been on the floor. This factor was dependent on age. Children 13-24 months old had significantly elevated blood lead levels if these behaviors exhibited. No significant differences were found, however, for children 25-36 months old. Several food-related habits were also associated with blood lead levels. Eating hamburgers, doughnuts, peanut butter and jelly sandwiches, and cold cuts were associated with elevated blood lead levels in 13-24-month-old children, while eating vitamins, raw vegetables, and yogurt were associated with lower blood lead levels in this age group. For children 25-36 months old, eating hamburgers and peanut butter and jelly sandwiches was associated with elevated blood lead levels, while yogurt consumption was associated with lower blood lead levels.","1997","New Jersey","None","None"
"Demographic risk factors associated with elevated lead levels in Texas children covered by Medicaid","This is the first large population-based study of demographic risk factors for elevated lead in Texas children. It summarizes data on 92,900 children covered by Medicaid screened for blood lead during the first 6 months of 1993 in Texas. The highest percentage of elevated lead levels (14.3%) was in children 25-36 months of age, with slightly lower percentages in those younger (13% of 19-24 months) and older (12% of 37-48 months) with blood lead levels greater than 10 micrograms/dl. The group with the highest percentage of elevated blood lead levels was 2-4-year-old African American males (17.3%) making this subgroup 3.5 times higher than the group with the lowest percentage-white girls over age 4 (4.8%). Males had higher blood lead levels for all ages and ethnic groups. Three principal risk factors were found for excessive blood lead in children: ethnicity, gender, and age; this is consistent with the second National Health and Nutrition Examination Survey (NHANES II) and Phase I of the NHANES III results demonstrating ethnicity and income association with lead in children in the United States.","1997","Texas","None","None"
"A case-control study to determine risk factors for elevated blood lead levels in children, Idaho","OBJECTIVE: A pair-matched, case-control study was conducted to identify if risk factors or behaviors suspected to affect childhood blood lead levels, were more prevalent among children with elevated blood lead levels living in the vicinity of a defunct mining and smelting facility. METHODS: Study individuals were recruited from the 1992 Silver Valley blood lead screening participants. The cases were children with a blood lead level > 10 micrograms per deciliter (microgram/dL). The controls were children with a blood lead level < 10 micrograms/dL, who were matched to cases by age and sex. Data on risk factors were obtained through personal interviews. RESULTS: Of the variables examined, yard soil remediation showed the strongest association with changes in blood lead levels. This variable was found to be a protective factor for elevated blood lead levels in children (odds ratio, 0.28; confidence interval, 0.08-0.92). CONCLUSION: The results suggest that removal of lead contaminated soil from residential yards was effective in reducing blood lead levels in children.","1997","Idaho","None","soil"
"Prenatal care and infant lead exposure","OBJECTIVE: The objective of the study was to determine the relation between prenatal care of mothers and blood lead concentrations in their offspring in the first year of life. METHODS: A retrospective survey was conducted of 200 predominantly black infants between the ages of 6 and 22 months (mean age, 13.4 months). The infants had been screened for the first time since birth at the Charleston County (South Carolina) Health Department. They resided in a neighborhood with the highest prevalence of lead poisoning in Charleston. Prenatal care use data were obtained after matching birth records with lead-screening records. RESULTS: Seventy-three infants (37%) had blood lead levels 0.48 micromol/L (> or = 10 microg/dl) or higher. Adequacy of prenatal care, defined by the Modified Kessner Index, showed 11% with intensive care (26% of these with high lead levels), 39% with adequate care (35% high blood lead levels), 35% with intermediate care (40% with high blood lead levels), 13% with inadequate care (42% with high blood lead levels), and 2% with no prenatal care (25% with high blood lead levels). With the exception of the small group with no prenatal care (n = 4), the proportion of infants with a high blood lead level was inversely proportional to the level of care. The logistic regression model that best fit the data included age at screen for lead and birth weight. Low birth weight babies (<2500 gm) were more likely to have a high blood lead level at primary screen than babies who were heavier at birth (odds ratio, 2.60; p = 0.04), and the older the baby at screening, the greater the likelihood of a high blood lead level (odds ratio, 1.23; p = 0.01). There was a trend for black infants to have a high blood lead level more often than white infants (odds ratio, 3.05; p = 0.06). CONCLUSIONS: Less than adequate use of prenatal care may reflect an increase in risk factors contributing to lead exposure in infancy. Low birth weight also was related to high blood lead levels. Further studies are required to differentiate among several hypotheses for this effect. Intrauterine lead exposure, which is known to reduce birth weight, may contribute to measured blood lead levels at first screen. Alternatively, low birth weight may increase lead absorption and retention in infancy or may increase risk of lead exposure.","1997","South Carolina","None","None"
"The process of community involvement--a case study: the Bartlesville, Oklahoma, Lead project"," ","1997","Oklahoma","social","social"
"Targeted screening for childhood lead exposure in a low prevalence area--Salt Lake County, Utah, 1995-1996","During 1991-1994, an estimated 930,000 U.S. children aged < 6 years had blood lead levels (BLLs) > or = 10 micrograms/dL, and the risk for an elevated BLL was greatest among children who were non-Hispanic black or Mexican American, from low-income families, living in large metropolitan areas, or living in housing built before 1946. Because risk for lead exposure is associated with several different factors, it can vary greatly across relatively small areas. To establish the local prevalence and distribution of childhood lead exposure and develop local blood lead screening recommendations, the Salt Lake City-County Health Department (SLCCHD) offered free blood lead screening to all children aged 12-36 months enrolled at the seven Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) clinics in Salt Lake County, Utah (1995 population: 812,000), during January-October 1995. This report presents findings of the screenings at WIC clinics, describes the design and promotion of local targeted screening recommendations, and describes the resulting increases in appropriate BLL screenings among children.","1997","Utah","None","None"
"Pesticide exposures to children from California's Central Valley: Results of a pilot study","In response to concerns about pesticide use and evidence that contaminants may accumulate in house dust, the California Department of Health Services (DHS) conducted a pilot study of pesticide contamination in rural children's home environments. House dust samples for pesticide analysis were collected from eleven homes, five of which had at least one farmworker (FW) resident. Handwipe samples were collected from one child at each residence (ages 1-3 years). Ten of 33 pesticides tested in house dust were detected. Excluding non-detects, concentrations for diazinon ranged from 0.7-169 ppm in four FW homes and 0.2-2.5 ppm in three non-farmworker (NFW) homes (overall median = 1 ppm), suggesting a difference between FW and NFW homes. Chlorpyrifos ranged from 0.2-33 ppm in three FW homes and < 1 ppm in two NFW homes (overall median < 0.5 ppm). All other pesticides were detected at < 2 ppm at four or fewer homes. The sources of these compounds could not be determined. Co-located samples were considerably different in concentration and lending, indicating intra-household variation. Of nine compounds tested, diazinon and chlorpyrifos were found on the hands of two or three FW children (20-220 ng/hand). Dust ingestion scenarios show child exposures could exceed the United States Environmental Protection Agency Office of Pesticide Program diazinon chronic reference dose (9 x 10(5) mg/kg/day). The results suggested that pesticide residues are present in the home environment of some California children and are likely to contribute to exposures. Additional research is feasible and needed to assess the magnitude and distribution of these risks.","1997","California","None","None"
"Statewide assessment of lead poisoning and exposure risk among children receiving Medicaid services in Alaska","OBJECTIVE: Lead poisoning is a well-recognized public health concern for children living in the United States. In 1992, Health Care Financing Administration (HCFA) regulations required lead poisoning risk assessment and blood lead testing for all Medicaid-enrolled children ages 6 months to 6 years. This study estimated the prevalence of blood lead levels (BLLs) >/=10 microg/dL (>/=0.48 micromol/L) and the performance of risk assessment questions among children receiving Medicaid services in Alaska. DESIGN: Measurement of venous BLLs in a statewide sample of children and risk assessment using a questionnaire modified from HCFA sample questions. SETTING: Eight urban areas and 25 rural villages throughout Alaska. PATIENTS: Nine hundred sixty-seven children enrolled in Medicaid, representing a 6% sample of 6-month- to 6-year-old Alaska children enrolled in Medicaid. OUTCOME MEASURE(S): Determination of BLL and responses to verbal-risk assessment questions. RESULTS: BLLs ranged from <1 microg/dL (<0.048 micromol/L) to 21 microg/dL (1.01 micromol/L) (median, 2.0 microg/dL or 0.096 micromol/L). The geometric mean BLLs for rural and urban children were 2.2 microg/dL (0.106 micromol/L) and 1.5 microg/dL (0.072 micromol/L), respectively. Six (0.6%) children had a BLL >/=10 microg/dL; only one child had a BLL >/=10 microg/dL (11 microg/dL or 0.53 micromol/L) on retesting. Children whose parents responded positively to at least one risk factor question were more likely to have a BLL >/=10 microg/dL (prevalence ratio = 3.1; 95% confidence interval = 0.4 to 26.6); the predictive value of a positive response was <1%. CONCLUSIONS: In this population, the prevalence of lead exposure was very low (0.6%); only one child tested (0.1%) maintained a BLL >/=10 microg/dL on confirmatory testing; no children were identified who needed individual medical or environmental management for lead exposure. Universal lead screening for Medicaid-enrolled children is not an effective use of public health resources in Alaska. Our findings identify an example of the importance in considering local and regional differences when formulating screening recommendations and regulations, and continually reevaluating the usefulness of federal regulations.","1997","Alaska","None","None"
"Lead poisoning and associated risk factors among preschoolers enrolled in a Head Start program","Despite the fact that lead poisoning is one of the most common pediatric health problems in the United States today, little is known about the prevalence and correlates of this disease among nonurban preschool children living in the southern United States. The purpose of this study was to measure the prevalence of abnormal lead levels and to explore the relationships between lead levels and gender, weight, hemoglobin, and ethnicity. Using a chart review protocol, data were collected from 81 charts of children enrolled in a Head Start program in Florida. The prevalence rate of elevated lead levels was 18.5%, a rate higher than that found in most previous research. No relationship was found between lead levels and gender, weight, hemoglobin, and ethnicity. The results highlight the importance of local screening efforts. Controversies in screening are discussed in this article in some detail with the aim of assisting health care providers make decisions about whether universal screening for lead levels in children is appropriate and whether use of the Centers for Disease Control questionnaire has sufficient value. Further study is needed regarding prevalence rates in different geographic areas in the United States, and factors associated with elevated lead levels.","1997","Florida","None","None"
"Human lead absorption -- Texas","In December 1971, the City-County Health Department in El Paso, Texas, discovered that an ore smelter in El Paso was discharging large quantities of lead and other metallic wastes into the air. Between 1969 and 1971, this smelter had released 1,116 tons of lead, 560 tons of zinc, 12 tons of cadmium, and 1.2 tons of arsenic into the atmosphere through its stacks.","1997","Texas","social","air"
"Quantitative modeling of lead exposure from glazed ceramic pottery in childhood lead poisoning cases","The US EPA's Integrated Exposure Uptake Biokinetic (IEUBK) Model is a physiologically-based, multi-compartment model which simulates lead uptake, distribution within the body, and elimination in order to predict children's blood lead levels. This study used the IEUBK to quantify the relative importance of dietary lead exposure from ceramic bean pots (as opposed to other environmental sources including soil, water, air and indoor dust) in children from San Diego County, CA, the majority of whom had been identified (by actual measurements) to have elevated blood lead levels. The EUBK modeling suggested that dietary lead exposure from beans prepared in Mexican pottery may account for a major fraction of the blood lead burden in children (all of Hispanic ethnicity) whose families used such ceramic ware. The IEUBK model tended to be overpredictive of actual values for blood lead levels, but this was most probably due to uncertainties in the exposure variables in the risk assessment. The results of this model simulation emphasize the need, in a geographic and ethnic setting such as San Diego County, for specific interventions including education and outreach programs for those at risk.","1997","California","None","None"
"Associations between soil lead and childhood blood lead in urban New Orleans and rural Lafourche Parish of Louisiana","This study evaluates associations between soil lead concentrations (SPb), age of housing, and blood lead levels (BPb) of children in metropolitan New Orleans and Lafourche Parish, Louisiana. The database includes over 2,600 SPb and 6,000 BPb samples paired by their median values and pre-1940 housing percentages for 172 census tracts. Associations were evaluated with Fisher's exact test and Spearman's rho test and modeled with the least sum of absolute deviations regression. Census tracts with low SPb are associated with new housing, but census tracts with high SPb are evenly split between old and new housing [Fisher's exact test, p = 8.60 X 10(-13) for the percentage of housing built before 1940 (percent pre-1940 housing) versus SPb]. The p-value for SPb versus BPb is 12 orders of magnitude stronger than the p-value for percent pre-1940 housing versus BPb. Census tracts with low BPb are associated with new housing, but census tracts with high BPb are split evenly between old and new housing (Fisher's exact test, p = 1. 67 X 10(-12) for percent pre-1940 housing versus BPb). Census tracts with high SPb are associated with high BPb and census tracts with low SPb are associated with low BPb (Fisher's exact test, p = 3.18 X 10(-24) for BPb versus SPb). The Spearman's rho test of the association of SPb and BPb in Orleans and Lafourche Parishes yielded a p-value of 6.12 X 10(-24). The least sum of absolute deviations regression model of the data is BPb = 1. 845 + 0.7215 (SPb)0.4. A comparison of the modeled BPb versus observed BPb has an r(2) of 0.552 and a p-value of 2.83 X 10(-23) that this relation was due to chance. If blood lead in children is more closely associated to soil lead than to the age of housing, then primary lead prevention should also include soil lead.","1997","Louisiana","soil","soil"
"Childhood lead poisoning and vinyl miniblind exposure","Objective: To determine the contribution of vinyl miniblinds to childhood lead poisoning. Design: A descriptive investigation was undertaken to estimate attributable risk among all reported childhood lead poisoning cases in North Carolina for which home environmental sampling was conducted between March and August 1996. Participants: Ninety-two children, aged 6 to 72 months, identified through a statewide screening program were included. Blood lead and environmental sampling test results were obtained from routine surveillance data collected for all lead-poisoned children. Results: Exposure to vinyl miniblinds with dust lead levels of 100 mu g/ft(2) or more occurred for 44 (48%) of the lead-poisoned children; 25 (27%) of the children were exposed to levels of 500 mu g/ft(2) or more. Vinyl miniblinds were the predominant source tie, other major sources of lead were not identified) for 8 (9%) of the children. Overall, the median dust lead level for vinyl miniblind field samples was 590 mu g/ft(2), and the highest level reported was 73 302 mu g/ft(2). Even new vinyl miniblinds manufactured before July 1996 contained dust lead levels that on average exceeded 100 mu g/ft(2). The levels for recently available nonleaded vinyl miniblinds were below the limits of detection. Conclusions: Vinyl miniblinds, introduced into this country 10 years ago, with sales estimated at 30 million sets a year, include brands containing lead. Although new formulations with no lead added are available, millions of children may still be at risk because a product recall has not been issued tie, lead-contaminated vinyl miniblinds are still in general use). In addition, the risk assessment evaluations proposed in lieu of universal blood lead screening for low-risk communities could overlook children with exposure to this source.","1997","North Carolina","None","None"
"Suspected lead poisoning in a public school","Reports of lead exposure can generate considerable public concern, particularly when children are involved. In December, 1996, a public elementary school in rural Utah was found to have elevated concentrations of lead in its drinking water. The local public health department responded by instituting remediation of the water supply and by warning parents of the possible danger to their children. Subsequent blood lead testing in 116 of the approximately 300 children involved showed an average lead concentration in the range expected for the U.S. population at large. One of the 116 specimens was marginally elevated and was probably unrelated to the school drinking water. Reducing lead exposure is an important public health concern which sometimes generates a response out of proportion to the danger involved.","1997","Utah","None","water"
"The failure of CDC screening questionnaire to efficiently detect elevated lead levels in a rural population of children","BACKGROUND: In 1991, the Centers for Disease Control and Prevention (CDC) lowered the level for lead toxicity from 25 micrograms/dL to 10 micrograms/dL and published guidelines recommending that all children be tested for blood lead level at 12 months of age and again, if possible, at 24 months. The guidelines also called for periodic universal screening of children between the ages of 6 and 72 months using the CDC's lead screening questionnaire. However, blindly following these recommendations may result in unnecessary patient discomfort, wasted time, and extra expense. According to the CDC guidelines, deviation from this practice requires the determination of the local prevalence of lead poisoning. The purpose of this study was to measure the local prevalence of elevated blood lead levels (EBLL) and to assess the utility of the CDC's lead screening questionnaire in a rural setting. METHODS: Three hundred seventy-six children living on the Navajo Reservation in Arizona were studied. A consecutive series evaluation at well-child visits between the ages of 6 and 72 months was conducted using the CDC lead screening questionnaire and blood lead levels measured by anodic voltammetry. RESULTS: Of 376 children, 368 had their blood levels tested. Eight children tested positively with an EBLL of > or = 10 micrograms/dL for a prevalence of 2.2%. Three hundred twenty-three completed questionnaires; 83 (25.7%) of these children had false-positive results. The sensitivity and specificity of the CDC lead screening questionnaire were 42.9% and 73.7%, respectively. The positive predictive value of the questionnaire was 3.5%. CONCLUSIONS: In this rural population of children, the prevalence of lead poisoning was low, and the CDC lead screening questionnaire failed to efficiently identify those children with lead toxicity. Screening such a population using the CDC guidelines will result in unnecessary discomfort for children and will squander limited resources of time and money. Physicians who care for children should know the local prevalence of EBLL in order to effectively follow the CDC's recommendations for lead screening.","1997","Arizona","None","None"
"A tale of two counties: Childhood lead poisoning, industrialization, and abatement in New England","We examine spatial variation in childhood lead poisoning within two industrial counties in New England: Worcester County, Massachusetts, and Providence County, Rhode Island. The findings suggest that lead exposure is linked to the differential patterns of urbanization and industrial activity and that a history of abatement can reduce lead exposure. Lead exposure in census tracts with minority neighborhoods varies in complex ways between the counties. We conclude that attention to local context forms an essential component of understanding how public health interventions will continue to affect the geography of childhood lead poisoning.","1998","Massachusetts","None","None"
"A tale of two counties: Childhood lead poisoning, industrialization, and abatement in New England","We examine spatial variation in childhood lead poisoning within two industrial counties in New England: Worcester County, Massachusetts, and Providence County, Rhode Island. The findings suggest that lead exposure is linked to the differential patterns of urbanization and industrial activity and that a history of abatement can reduce lead exposure. Lead exposure in census tracts with minority neighborhoods varies in complex ways between the counties. We conclude that attention to local context forms an essential component of understanding how public health interventions will continue to affect the geography of childhood lead poisoning.","1998","Rhode Island","None","None"
"The effectiveness of a home cleaning intervention strategy in reducing potential dust and lead exposures","The changes in dust loading, lead loading and lead concentration, determined from vacuum samples and wipe samples collected during the Childhood Lead Exposure Assessment and Reduction Study (CLEARS) were analyzed to determine the efficacy of the cleaning protocol in homes of children found to have moderate lead poisoning, e.g. levels between 10-20 mu g/dL. The samples were collected at least twice, and in 65 homes three times, during the course of a year long intervention in homes where half were randomized into a group which received a standardized Lead Intervention program for lead reduction, and the other homes only received an Accident Intervention program. The homes with lead burdened children were located in Hudson County, New Jersey (primarily in Jersey City), and were referred to the CLEARS by a number of private and public sources. Each home had wipe sampling conducted with the LWW Sampler (patented), and vacuum sampling was completed using a device described by Wang et al. in Applied Occupational and Environmental Hygiene. The results were compared in two ways: (1) between the two intervention groups, and (2) over the time course of the intervention period. When compared to the values seen in the first visit vacuum sampling results showed statistically significant decreases in lead loading and dust loading by the third sampling visit for the Lead Intervention homes. Substantial reductions in lead loading and dust loading were also seen when the Lend Intervention values were compared to values obtained in the Accident Intervention homes over the course of the year long intervention. The wipe sampling results for the 65 homes with three visits found no significant reductions in dust loading and lead loading among any of the room surfaces sampled in the Accident Intervention homes. There were 75% and 50% reductions observed on the window sills and on the bedroom floors of the homes which participated in the Lead Intervention. The levels in the living room and the kitchen showed very little change in loadings. This appeared to be due to the fact these rooms were near a background or baseline value of 0.3 g/cm(2) and 0.12 mg/cm(2) for dust loading and lead, respectively. This was substantiated by the window sills and bedroom wipe sampling results since each surface approached these values by the third visit. Significant reductions in lead concentrations found in the wipe samples from the intervention homes appeared to be related to the absence of historically active sources of lead in these homes, rather than elimination of current sources. The results of the micro-environmental sampling program in CLEARS indicated that a year-long cleaning protocol can significantly decrease lead levels in rugs and on other exposed surfaces. This will reduce the potential for exposure to lead among the occupants, especially children, that come in contact with such surfaces.","1998","New Jersey","None","social"
"Community characteristics associated with elevated blood lead levels in children","OBJECTIVES: To identify community characteristics associated with children having elevated blood lead levels (> or = 10 micrograms/dL) and examine whether these characteristics can be used to identify children with elevated blood lead levels. PARTICIPANTS AND SETTING: A total of 20,296 children in Monroe County, New York (< 6 years old) who had blood lead testing in the first 12 months after statewide mandated reporting of blood lead tests began. DESIGN: A logistic regression analysis was conducted to examine the association of children's blood lead levels and community characteristics by using community characteristics of 653 census block groups. RESULTS: The following community level variables were associated with increased risk of elevated blood lead levels in children: residence within the city [odds ratio (OR), 2.0; 95% confidence interval (CI), 1.6, 2.7]; block groups with a higher proportion of individuals of Black race (OR, 1.6; CI, 1.4, 2.0); higher screening rate (OR, 1.9; CI, 1.6, 2.4); lower housing value (OR, 1.6; CI, 1.2, 2.0); housing built before 1950 (OR, 1.5; CI, 1.3, 1.8); higher population density (OR, 1.5; CI, 1.3, 1.8); higher rates of poverty (OR, 1.4; CI, 1.2, 1.8); lower percent of high school graduates (OR, 1.3; CI, 1.1, 1.6), and lower rates of owner-occupied housing (OR, 1.2; CI, 1.0, 1.4). Community characteristics were comparable with clinic-based individual risk assessment to identify children with elevated blood lead levels. CONCLUSIONS: These data demonstrate that community characteristics can be used to develop screening strategies to identify children who have elevated blood lead levels and shift our efforts toward identifying houses containing lead hazards before occupancy and before children are unduly exposed.","1998","New York","None","None"
"Relationship between soil and dust lead in a lead mining area and blood lead levels","The relationship between lead mining waste and childhood lead poisoning is poorly understood. This study evaluates the contribution of soil lead to blood lead levels. METHODS: 125 children between 6 and 71 months of age living in a lead mining area of southwestern Missouri were evaluated for blood lead and their homes tested for lead in soil, dust, and paint. These results were compared to 26 control children. RESULTS: Homes in the lead mining area had significantly increased soil and dust lead levels and significantly higher blood lead levels. The primary source of dust lead was soil lead. There was a strong relationship between blood lead levels and dust, soil, and paint lead. CONCLUSION: Soil lead related to mining operations plays a significant role in contributing to blood lead levels in children.","1998","Missouri","social","soil"
